source,target,weight
1,93,7.0
1,101,6.0
1,43,6.0
1,41,6.0
1,122,5.0
2,93,10.0
2,47,5.0
2,1,5.0
2,41,4.0
2,43,4.0
3,23,2.0
3,36,2.0
3,38,2.0
3,110,2.0
3,24,2.0
4,84,4.0
4,1,3.0
4,93,3.0
4,63,3.0
4,122,3.0
5,129,10.0
5,91,7.0
5,35,6.0
5,65,6.0
5,20,6.0
6,108,11.0
6,71,4.0
6,95,2.0
6,65,2.0
6,12,2.0
7,67,1.0
7,53,1.0
7,113,1.0
7,23,1.0
7,106,1.0
8,76,4.0
8,133,4.0
8,55,4.0
8,72,4.0
8,36,3.0
9,11,6.0
9,76,3.0
9,55,3.0
9,67,2.0
9,72,2.0
10,91,4.0
10,132,4.0
10,41,4.0
10,129,4.0
10,59,4.0
11,9,6.0
11,36,3.0
11,76,3.0
11,110,3.0
11,55,2.0
12,60,7.0
12,29,5.0
12,35,5.0
12,41,4.0
12,94,4.0
13,25,5.0
13,123,4.0
13,47,4.0
13,58,4.0
13,49,4.0
14,77,2.0
14,126,2.0
14,32,2.0
14,105,2.0
14,45,2.0
15,111,3.0
15,82,3.0
15,121,2.0
15,87,2.0
15,52,2.0
16,52,8.0
16,38,5.0
16,107,5.0
16,58,4.0
16,125,4.0
17,5,2.0
17,77,2.0
17,105,2.0
17,65,2.0
17,129,2.0
18,103,7.0
18,122,5.0
18,41,5.0
18,51,4.0
18,101,4.0
19,102,3.0
19,119,2.0
19,70,2.0
19,28,2.0
19,69,2.0
20,129,14.0
20,125,10.0
20,101,10.0
20,91,9.0
20,59,7.0
21,41,5.0
21,107,4.0
21,101,3.0
21,60,3.0
21,86,3.0
22,29,3.0
22,77,3.0
22,94,3.0
22,1,3.0
22,56,3.0
23,36,4.0
23,24,4.0
23,110,3.0
23,38,3.0
23,31,3.0
24,76,5.0
24,36,5.0
24,72,5.0
24,38,5.0
24,26,4.0
25,13,5.0
25,63,5.0
25,43,4.0
25,58,4.0
25,93,4.0
26,87,8.0
26,62,6.0
26,111,6.0
26,36,5.0
26,54,4.0
27,36,2.0
27,111,2.0
27,24,2.0
27,82,2.0
27,110,2.0
28,70,2.0
28,34,2.0
28,102,2.0
28,50,2.0
28,19,2.0
29,77,13.0
29,35,12.0
29,94,11.0
29,129,7.0
29,65,7.0
30,39,2.0
30,35,2.0
30,5,2.0
30,129,2.0
30,125,2.0
31,36,4.0
31,110,4.0
31,75,4.0
31,128,3.0
31,23,3.0
32,123,4.0
32,78,4.0
32,45,4.0
32,25,4.0
32,13,3.0
33,127,3.0
33,59,2.0
33,78,2.0
33,5,2.0
33,125,2.0
34,28,2.0
34,70,2.0
34,79,2.0
34,19,2.0
34,69,2.0
35,129,12.0
35,29,12.0
35,65,10.0
35,77,9.0
35,94,8.0
36,110,18.0
36,26,5.0
36,111,5.0
36,24,5.0
36,31,4.0
37,47,4.0
37,97,3.0
37,1,3.0
37,120,3.0
37,101,3.0
38,24,5.0
38,16,5.0
38,128,4.0
38,52,4.0
38,46,4.0
39,73,4.0
39,30,2.0
